x-idx,y-idx,value
0,0,0
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,-12
8,0,-176
9,0,-331
10,0,-357
11,0,-295
0,1,0
1,1,0
2,1,0
3,1,0
4,1,0
5,1,0
6,1,-363
7,1,-118
8,1,445
9,1,923
10,1,1519
11,1,786
0,2,0
1,2,0
2,2,0
3,2,0
4,2,-7
5,2,-288
6,2,-123
7,2,3089
8,2,3225
9,2,2085
10,2,1743
11,2,1626
0,3,0
1,3,0
2,3,0
3,3,0
4,3,-12
5,3,-547
6,3,515
7,3,2354
8,3,6290
9,3,5662
10,3,4445
11,3,3759
0,4,0
1,4,0
2,4,0
3,4,0
4,4,-118
5,4,-114
6,4,1964
7,4,2913
8,4,6232
9,4,8031
10,4,7838
11,4,6911
0,5,0
1,5,0
2,5,0
3,5,0
4,5,-1236
5,5,2401
6,5,4149
7,5,3468
8,5,3553
9,5,4208
10,5,6689
11,5,7143
0,6,0
1,6,0
2,6,0
3,6,-1059
4,6,5866
5,6,10439
6,6,13317
7,6,8103
8,6,3679
9,6,2293
10,6,1297
11,6,586
0,7,0
1,7,0
2,7,0
3,7,2761
4,7,10016
5,7,14653
6,7,17959
7,7,14977
8,7,8942
9,7,610
10,7,0
11,7,0
0,8,0
1,8,0
2,8,0
3,8,6454
4,8,11708
5,8,19785
6,8,19048
7,8,16294
8,8,10288
9,8,2204
10,8,0
11,8,0
0,9,0
1,9,0
2,9,0
3,9,3325
4,9,11666
5,9,17958
6,9,19146
7,9,17511
8,9,14938
9,9,7820
10,9,607
11,9,1380
0,10,0
1,10,-27
2,10,0
3,10,661
4,10,11942
5,10,17062
6,10,17533
7,10,16644
8,10,12816
9,10,8312
10,10,2781
11,10,2502
0,11,0
1,11,-111
2,11,-11
3,11,0
4,11,4264
5,11,12144
6,11,15457
7,11,14641
8,11,11134
9,11,6129
10,11,734
11,11,1160
