x-idx,y-idx,value
0,0,0
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0,0
9,0,0
10,0,0
11,0,0
0,1,0
1,1,0
2,1,0
3,1,0
4,1,0
5,1,0
6,1,0
7,1,0
8,1,0
9,1,-1
10,1,0
11,1,0
0,2,0
1,2,0
2,2,0
3,2,0
4,2,0
5,2,0
6,2,0
7,2,100
8,2,-143
9,2,-488
10,2,-561
11,2,-740
0,3,0
1,3,0
2,3,0
3,3,0
4,3,0
5,3,0
6,3,0
7,3,1504
8,3,283
9,3,-874
10,3,-1188
11,3,-1524
0,4,0
1,4,0
2,4,0
3,4,0
4,4,0
5,4,0
6,4,69
7,4,467
8,4,248
9,4,86
10,4,52
11,4,233
0,5,0
1,5,0
2,5,0
3,5,0
4,5,0
5,5,0
6,5,0
7,5,1112
8,5,258
9,5,108
10,5,28
11,5,31
0,6,0
1,6,0
2,6,0
3,6,0
4,6,0
5,6,391
6,6,0
7,6,206
8,6,-1546
9,6,-1483
10,6,-1469
11,6,-1960
0,7,0
1,7,0
2,7,0
3,7,0
4,7,0
5,7,930
6,7,728
7,7,0
8,7,-1148
9,7,-695
10,7,-480
11,7,-628
0,8,0
1,8,0
2,8,0
3,8,0
4,8,0
5,8,850
6,8,1236
7,8,0
8,8,-874
9,8,-1025
10,8,-1112
11,8,-459
0,9,0
1,9,0
2,9,0
3,9,0
4,9,0
5,9,0
6,9,1023
7,9,789
8,9,0
9,9,1084
10,9,-1375
11,9,-1767
0,10,0
1,10,0
2,10,0
3,10,0
4,10,0
5,10,0
6,10,356
7,10,412
8,10,-300
9,10,1
10,10,249
11,10,232
0,11,0
1,11,0
2,11,0
3,11,0
4,11,0
5,11,0
6,11,0
7,11,0
8,11,4
9,11,0
10,11,0
11,11,0
