x-idx,y-idx,value
0,0,13536
1,0,16134
2,0,16753
3,0,16970
4,0,16910
5,0,16997
6,0,17045
7,0,16655
8,0,14759
9,0,14050
10,0,13919
11,0,13079
0,1,14405
1,1,16589
2,1,17481
3,1,17801
4,1,17800
5,1,17794
6,1,17380
7,1,17663
8,1,15641
9,1,14620
10,1,14623
11,1,13367
0,2,14261
1,2,16897
2,2,17720
3,2,17880
4,2,17799
5,2,17763
6,2,17675
7,2,17803
8,2,16454
9,2,14848
10,2,13359
11,2,12716
0,3,14352
1,3,16404
2,3,17270
3,3,17729
4,3,16631
5,3,17655
6,3,17472
7,3,17458
8,3,17647
9,3,17333
10,3,15455
11,3,14134
0,4,14001
1,4,16774
2,4,17363
3,4,17594
4,4,17539
5,4,17718
6,4,16795
7,4,17182
8,4,16846
9,4,16403
10,4,16214
11,4,16511
0,5,13823
1,5,16278
2,5,17278
3,5,17398
4,5,17407
5,5,18018
6,5,18950
7,5,13719
8,5,12339
9,5,12090
10,5,11553
11,5,13614
0,6,13598
1,6,16715
2,6,17383
3,6,17666
4,6,17486
5,6,17854
6,6,14652
7,6,10604
8,6,7997
9,6,6343
10,6,5647
11,6,6705
0,7,14036
1,7,16473
2,7,17421
3,7,17667
4,7,16170
5,7,17829
6,7,15150
7,7,9672
8,7,5954
9,7,4074
10,7,3120
11,7,2877
0,8,14324
1,8,16984
2,8,17676
3,8,17832
4,8,15337
5,8,20547
6,8,14008
7,8,8928
8,8,5522
9,8,3973
10,8,2513
11,8,2140
0,9,14159
1,9,16640
2,9,17447
3,9,17777
4,9,16352
5,9,18632
6,9,17905
7,9,11227
8,9,8246
9,9,5477
10,9,4365
11,9,3062
0,10,13712
1,10,16076
2,10,16830
3,10,17201
4,10,17271
5,10,16994
6,10,16667
7,10,12709
8,10,8471
9,10,7269
10,10,5712
11,10,4776
0,11,6164
1,11,13752
2,11,14929
3,11,15060
4,11,14876
5,11,14684
6,11,14776
7,11,14988
8,11,13169
9,11,9179
10,11,6816
11,11,5868
