x-idx,y-idx,value
0,0,524
1,0,-87
2,0,-324
3,0,490
4,0,0
5,0,0
6,0,0
7,0,368
8,0,421
9,0,370
10,0,226
11,0,0
0,1,303
1,1,503
2,1,100
3,1,146
4,1,0
5,1,0
6,1,0
7,1,66
8,1,329
9,1,507
10,1,479
11,1,333
0,2,517
1,2,737
2,2,621
3,2,675
4,2,0
5,2,0
6,2,0
7,2,206
8,2,192
9,2,297
10,2,150
11,2,237
0,3,238
1,3,365
2,3,529
3,3,574
4,3,592
5,3,856
6,3,0
7,3,0
8,3,0
9,3,0
10,3,0
11,3,0
0,4,177
1,4,111
2,4,283
3,4,396
4,4,627
5,4,557
6,4,0
7,4,0
8,4,0
9,4,0
10,4,0
11,4,0
0,5,337
1,5,58
2,5,26
3,5,54
4,5,31
5,5,207
6,5,645
7,5,0
8,5,0
9,5,0
10,5,0
11,5,0
0,6,294
1,6,133
2,6,49
3,6,68
4,6,124
5,6,315
6,6,536
7,6,0
8,6,0
9,6,0
10,6,0
11,6,0
0,7,618
1,7,241
2,7,160
3,7,143
4,7,175
5,7,348
6,7,739
7,7,0
8,7,0
9,7,0
10,7,0
11,7,0
0,8,0
1,8,1736
2,8,410
3,8,246
4,8,398
5,8,733
6,8,0
7,8,0
8,8,0
9,8,0
10,8,0
11,8,0
0,9,0
1,9,0
2,9,0
3,9,1451
4,9,0
5,9,0
6,9,0
7,9,0
8,9,0
9,9,0
10,9,0
11,9,0
0,10,0
1,10,0
2,10,0
3,10,0
4,10,0
5,10,0
6,10,0
7,10,0
8,10,0
9,10,0
10,10,0
11,10,0
0,11,0
1,11,0
2,11,0
3,11,0
4,11,0
5,11,0
6,11,0
7,11,0
8,11,0
9,11,0
10,11,0
11,11,0
