x-idx,y-idx,value
0,0,0
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0,27
9,0,372
10,0,514
11,0,367
0,1,0
1,1,0
2,1,0
3,1,0
4,1,0
5,1,0
6,1,229
7,1,724
8,1,769
9,1,619
10,1,621
11,1,756
0,2,0
1,2,0
2,2,0
3,2,0
4,2,0
5,2,259
6,2,665
7,2,96
8,2,-47
9,2,453
10,2,675
11,2,635
0,3,0
1,3,0
2,3,0
3,3,0
4,3,0
5,3,711
6,3,933
7,3,1468
8,3,333
9,3,87
10,3,567
11,3,884
0,4,0
1,4,0
2,4,0
3,4,0
4,4,0
5,4,1597
6,4,1227
7,4,1027
8,4,1284
9,4,1004
10,4,401
11,4,828
0,5,0
1,5,0
2,5,0
3,5,0
4,5,1738
5,5,1560
6,5,2478
7,5,1750
8,5,1092
9,5,1216
10,5,1152
11,5,1340
0,6,0
1,6,0
2,6,0
3,6,2333
4,6,2257
5,6,1284
6,6,1367
7,6,1812
8,6,2071
9,6,795
10,6,432
11,6,1305
0,7,0
1,7,0
2,7,0
3,7,1156
4,7,721
5,7,723
6,7,725
7,7,546
8,7,767
9,7,641
10,7,0
11,7,0
0,8,0
1,8,0
2,8,0
3,8,1082
4,8,549
5,8,331
6,8,347
7,8,-116
8,8,274
9,8,1066
10,8,0
11,8,0
0,9,0
1,9,0
2,9,0
3,9,532
4,9,482
5,9,346
6,9,310
7,9,298
8,9,-206
9,9,-90
10,9,355
11,9,1212
0,10,0
1,10,0
2,10,0
3,10,605
4,10,457
5,10,239
6,10,359
7,10,220
8,10,480
9,10,-610
10,10,248
11,10,874
0,11,0
1,11,0
2,11,0
3,11,0
4,11,461
5,11,296
6,11,502
7,11,387
8,11,513
9,11,690
10,11,976
11,11,1143
