x-idx,y-idx,value
0,0,0
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0,17
9,0,251
10,0,355
11,0,239
0,1,0
1,1,0
2,1,0
3,1,0
4,1,0
5,1,0
6,1,116
7,1,784
8,1,1378
9,1,1714
10,1,2372
11,1,1687
0,2,0
1,2,0
2,2,0
3,2,0
4,2,0
5,2,166
6,2,1189
7,2,3662
8,2,3681
9,2,3009
10,2,2806
11,2,2539
0,3,0
1,3,0
2,3,0
3,3,0
4,3,0
5,3,484
6,3,1807
7,3,4694
8,3,7248
9,3,6176
10,3,5486
11,3,5076
0,4,0
1,4,0
2,4,0
3,4,0
4,4,0
5,4,2016
6,4,3506
7,4,4292
8,4,8203
9,4,9360
10,4,8646
11,4,8210
0,5,0
1,5,0
2,5,0
3,5,0
4,5,1137
5,5,4685
6,5,6883
7,5,5878
8,5,5065
9,5,6156
10,5,8361
11,5,8971
0,6,0
1,6,0
2,6,0
3,6,1789
4,6,8586
5,6,12124
6,6,15177
7,6,10405
8,6,6324
9,6,3340
10,6,1927
11,6,2330
0,7,0
1,7,0
2,7,0
3,7,4184
4,7,11031
5,7,15824
6,7,18972
7,7,15859
8,7,10084
9,7,1801
10,7,0
11,7,0
0,8,0
1,8,0
2,8,0
3,8,7969
4,8,12638
5,8,20374
6,8,19624
7,8,16348
8,8,10947
9,8,3678
10,8,0
11,8,0
0,9,0
1,9,0
2,9,0
3,9,4103
4,9,12462
5,9,18535
6,9,19627
7,9,18060
8,9,15056
9,9,8008
10,9,1375
11,9,2473
0,10,0
1,10,0
2,10,0
3,10,1636
4,10,12854
5,10,17561
6,10,18166
7,10,17104
8,10,13491
9,10,7959
10,10,3678
11,10,3087
0,11,0
1,11,0
2,11,0
3,11,0
4,11,5108
5,11,12920
6,11,16134
7,11,15432
8,11,12052
9,11,7168
10,11,2246
11,11,2627
