x-idx,y-idx,value
0,0,2197
1,0,4976
2,0,3764
3,0,0
4,0,0
5,0,0
6,0,0
7,0,302
8,0,0
9,0,0
10,0,0
11,0,0
0,1,4903
1,1,7856
2,1,4691
3,1,1307
4,1,0
5,1,0
6,1,0
7,1,157
8,1,0
9,1,0
10,1,0
11,1,0
0,2,8546
1,2,13429
2,2,11402
3,2,6415
4,2,106
5,2,0
6,2,0
7,2,0
8,2,0
9,2,0
10,2,0
11,2,0
0,3,15444
1,3,21696
2,3,21526
3,3,17824
4,3,11974
5,3,1891
6,3,0
7,3,0
8,3,0
9,3,0
10,3,0
11,3,0
0,4,18632
1,4,25197
2,4,26383
3,4,25633
4,4,20332
5,4,10245
6,4,0
7,4,0
8,4,0
9,4,0
10,4,0
11,4,0
0,5,18014
1,5,24680
2,5,26833
3,5,26691
4,5,25038
5,5,19328
6,5,6793
7,5,0
8,5,0
9,5,0
10,5,0
11,5,0
0,6,12247
1,6,23759
2,6,26224
3,6,26400
4,6,23686
5,6,15737
6,6,1342
7,6,0
8,6,0
9,6,0
10,6,0
11,6,0
0,7,1825
1,7,15174
2,7,21904
3,7,23433
4,7,19334
5,7,13523
6,7,0
7,7,0
8,7,0
9,7,0
10,7,0
11,7,0
0,8,0
1,8,4370
2,8,12248
3,8,14597
4,8,9433
5,8,0
6,8,0
7,8,0
8,8,0
9,8,0
10,8,0
11,8,0
0,9,0
1,9,0
2,9,0
3,9,0
4,9,0
5,9,0
6,9,0
7,9,0
8,9,0
9,9,0
10,9,0
11,9,0
0,10,0
1,10,0
2,10,0
3,10,0
4,10,0
5,10,0
6,10,0
7,10,0
8,10,0
9,10,0
10,10,0
11,10,0
0,11,0
1,11,0
2,11,0
3,11,0
4,11,0
5,11,0
6,11,0
7,11,0
8,11,0
9,11,0
10,11,0
11,11,0
