x-idx,y-idx,value
0,0,0
1,0,0
2,0,0
3,0,4915
4,0,11045
5,0,20294
6,0,27297
7,0,26235
8,0,22276
9,0,12026
10,0,0
11,0,0
0,1,0
1,1,0
2,1,0
3,1,5644
4,1,12393
5,1,17750
6,1,27920
7,1,27845
8,1,25798
9,1,17329
10,1,2851
11,1,0
0,2,0
1,2,0
2,2,0
3,2,5346
4,2,15640
5,2,21086
6,2,28518
7,2,27813
8,2,24884
9,2,15918
10,2,305
11,2,0
0,3,0
1,3,263
2,3,0
3,3,0
4,3,10860
5,3,20790
6,3,26531
7,3,26421
8,3,23147
9,3,14449
10,3,0
11,3,0
0,4,0
1,4,306
2,4,35
3,4,0
4,4,985
5,4,15159
6,4,21037
7,4,21062
8,4,15381
9,4,502
10,4,0
11,4,0
0,5,0
1,5,0
2,5,440
3,5,1
4,5,0
5,5,0
6,5,5753
7,5,9115
8,5,4921
9,5,0
10,5,0
11,5,0
0,6,0
1,6,0
2,6,0
3,6,372
4,6,52
5,6,0
6,6,0
7,6,0
8,6,0
9,6,0
10,6,0
11,6,0
0,7,0
1,7,0
2,7,0
3,7,0
4,7,0
5,7,0
6,7,0
7,7,0
8,7,0
9,7,0
10,7,0
11,7,0
0,8,0
1,8,0
2,8,0
3,8,0
4,8,0
5,8,0
6,8,0
7,8,0
8,8,0
9,8,0
10,8,0
11,8,0
0,9,0
1,9,0
2,9,0
3,9,0
4,9,0
5,9,0
6,9,0
7,9,0
8,9,0
9,9,0
10,9,0
11,9,0
0,10,0
1,10,0
2,10,0
3,10,0
4,10,0
5,10,0
6,10,0
7,10,0
8,10,0
9,10,0
10,10,0
11,10,0
0,11,0
1,11,0
2,11,0
3,11,0
4,11,0
5,11,0
6,11,0
7,11,0
8,11,0
9,11,0
10,11,0
11,11,0
