x-idx,y-idx,value
0,0,20105
1,0,24137
2,0,24867
3,0,25168
4,0,25298
5,0,25432
6,0,25281
7,0,25450
8,0,23505
9,0,22271
10,0,21741
11,0,20804
0,1,21302
1,1,24670
2,1,25971
3,1,26438
4,1,26358
5,1,26362
6,1,25939
7,1,26396
8,1,24380
9,1,22833
10,1,21991
11,1,20912
0,2,21098
1,2,25128
2,2,26231
3,2,26525
4,2,26386
5,2,26301
6,2,26249
7,2,26369
8,2,24852
9,2,22109
10,2,20625
11,2,19945
0,3,21193
1,3,24417
2,3,25711
3,3,26338
4,3,25144
5,3,26146
6,3,25975
7,3,25873
8,3,24979
9,3,24579
10,3,23290
11,3,22760
0,4,20662
1,4,24864
2,4,25762
3,4,26108
4,4,25969
5,4,25772
6,4,25108
7,4,25467
8,4,25166
9,4,24339
10,4,24215
11,4,24571
0,5,20391
1,5,24162
2,5,25588
3,5,25848
4,5,25839
5,5,25771
6,5,25774
7,5,23161
8,5,20445
9,5,18634
10,5,17467
11,5,20433
0,6,19906
1,6,24820
2,6,25707
3,6,26082
4,6,25850
5,6,25728
6,6,20967
7,6,17371
8,6,14550
9,6,11739
10,6,9595
11,6,10918
0,7,20467
1,7,24425
2,7,25734
3,7,26222
4,7,24628
5,7,25918
6,7,21918
7,7,17049
8,7,11927
9,7,7743
10,7,5422
11,7,4873
0,8,20991
1,8,25082
2,8,26057
3,8,26323
4,8,23657
5,8,26155
6,8,21599
7,8,16194
8,8,10884
9,8,6968
10,8,4463
11,8,3785
0,9,20622
1,9,24543
2,9,25689
3,9,26221
4,9,23822
5,9,25741
6,9,25743
7,9,20464
8,9,15268
9,9,10624
10,9,7617
11,9,5646
0,10,18102
1,10,23577
2,10,24650
3,10,24726
4,10,24641
5,10,24420
6,10,24461
7,10,23263
8,10,17855
9,10,13791
10,10,11023
11,10,9934
0,11,8695
1,11,19745
2,11,21632
3,11,21744
4,11,21524
5,11,21241
6,11,21270
7,11,21495
8,11,22286
9,11,17377
10,11,15940
11,11,14214
