x-idx,y-idx,value
0,0,0
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0,0
9,0,0
10,0,0
11,0,0
0,1,0
1,1,0
2,1,0
3,1,0
4,1,0
5,1,0
6,1,0
7,1,115
8,1,381
9,1,579
10,1,626
11,1,479
0,2,0
1,2,0
2,2,0
3,2,0
4,2,0
5,2,0
6,2,293
7,2,1266
8,2,1704
9,2,1380
10,2,1110
11,2,956
0,3,0
1,3,0
2,3,0
3,3,0
4,3,0
5,3,0
6,3,512
7,3,1202
8,3,3125
9,3,3044
10,3,2483
11,3,2236
0,4,0
1,4,0
2,4,0
3,4,0
4,4,0
5,4,503
6,4,1339
7,4,1707
8,4,3529
9,4,4242
10,4,4304
11,4,3712
0,5,0
1,5,0
2,5,0
3,5,0
4,5,0
5,5,1779
6,5,2337
7,5,2412
8,5,2129
9,5,2017
10,5,3660
11,5,3679
0,6,0
1,6,0
2,6,0
3,6,275
4,6,3440
5,6,5313
6,6,5471
7,6,4304
8,6,2411
9,6,1354
10,6,764
11,6,601
0,7,0
1,7,0
2,7,0
3,7,1722
4,7,5139
5,7,7356
6,7,7860
7,7,7321
8,7,4824
9,7,772
10,7,0
11,7,0
0,8,0
1,8,0
2,8,0
3,8,3571
4,8,7242
5,8,8567
6,8,8644
7,8,8099
8,8,5283
9,8,1403
10,8,0
11,8,0
0,9,0
1,9,0
2,9,0
3,9,1864
4,9,5605
5,9,8500
6,9,9016
7,9,8791
8,9,7385
9,9,4010
10,9,392
11,9,559
0,10,0
1,10,0
2,10,0
3,10,971
4,10,6055
5,10,8423
6,10,8760
7,10,8362
8,10,6247
9,10,4014
10,10,1231
11,10,1514
0,11,0
1,11,0
2,11,0
3,11,0
4,11,2721
5,11,6525
6,11,7800
7,11,7423
8,11,5698
9,11,3203
10,11,810
11,11,1338
