x-idx,y-idx,value
0,0,0
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0,0
9,0,0
10,0,0
11,0,0
0,1,0
1,1,0
2,1,0
3,1,0
4,1,0
5,1,0
6,1,0
7,1,0
8,1,0
9,1,0
10,1,0
11,1,0
0,2,0
1,2,0
2,2,0
3,2,0
4,2,0
5,2,0
6,2,0
7,2,1846
8,2,3610
9,2,3756
10,2,2966
11,2,1516
0,3,0
1,3,0
2,3,0
3,3,0
4,3,0
5,3,0
6,3,0
7,3,3547
8,3,5613
9,3,6585
10,3,6172
11,3,4806
0,4,0
1,4,0
2,4,0
3,4,0
4,4,0
5,4,0
6,4,52
7,4,5929
8,4,8029
9,4,8149
10,4,8112
11,4,7262
0,5,0
1,5,0
2,5,0
3,5,0
4,5,0
5,5,0
6,5,0
7,5,4095
8,5,7709
9,5,8680
10,5,8407
11,5,8051
0,6,0
1,6,0
2,6,0
3,6,0
4,6,0
5,6,0
6,6,0
7,6,2457
8,6,5042
9,6,5518
10,6,5227
11,6,5144
0,7,0
1,7,0
2,7,0
3,7,0
4,7,0
5,7,0
6,7,0
7,7,0
8,7,868
9,7,2398
10,7,2847
11,7,2039
0,8,0
1,8,0
2,8,0
3,8,0
4,8,0
5,8,81
6,8,212
7,8,0
8,8,156
9,8,234
10,8,358
11,8,134
0,9,0
1,9,0
2,9,0
3,9,0
4,9,0
5,9,0
6,9,926
7,9,600
8,9,0
9,9,283
10,9,162
11,9,195
0,10,0
1,10,0
2,10,0
3,10,0
4,10,0
5,10,0
6,10,0
7,10,638
8,10,0
9,10,0
10,10,0
11,10,2
0,11,0
1,11,0
2,11,0
3,11,0
4,11,0
5,11,0
6,11,0
7,11,0
8,11,0
9,11,0
10,11,0
11,11,0
