x-idx,y-idx,value
0,0,459
1,0,285
2,0,-338
3,0,0
4,0,0
5,0,0
6,0,0
7,0,417
8,0,25
9,0,0
10,0,0
11,0,0
0,1,457
1,1,-139
2,1,211
3,1,-156
4,1,0
5,1,0
6,1,0
7,1,370
8,1,80
9,1,0
10,1,0
11,1,0
0,2,999
1,2,116
2,2,170
3,2,-113
4,2,0
5,2,0
6,2,0
7,2,0
8,2,0
9,2,0
10,2,0
11,2,0
0,3,694
1,3,474
2,3,-171
3,3,71
4,3,63
5,3,303
6,3,0
7,3,0
8,3,0
9,3,0
10,3,0
11,3,0
0,4,570
1,4,388
2,4,1
3,4,-669
4,4,-243
5,4,289
6,4,0
7,4,0
8,4,0
9,4,0
10,4,0
11,4,0
0,5,629
1,5,417
2,5,237
3,5,264
4,5,383
5,5,585
6,5,1081
7,5,0
8,5,0
9,5,0
10,5,0
11,5,0
0,6,879
1,6,379
2,6,193
3,6,220
4,6,368
5,6,666
6,6,1329
7,6,0
8,6,0
9,6,0
10,6,0
11,6,0
0,7,1233
1,7,836
2,7,506
3,7,430
4,7,545
5,7,801
6,7,1010
7,7,0
8,7,0
9,7,0
10,7,0
11,7,0
0,8,0
1,8,1350
2,8,947
3,8,797
4,8,1136
5,8,279
6,8,0
7,8,0
8,8,0
9,8,0
10,8,0
11,8,0
0,9,0
1,9,0
2,9,0
3,9,357
4,9,0
5,9,0
6,9,0
7,9,0
8,9,0
9,9,0
10,9,0
11,9,0
0,10,0
1,10,0
2,10,0
3,10,0
4,10,0
5,10,0
6,10,0
7,10,0
8,10,0
9,10,0
10,10,0
11,10,0
0,11,0
1,11,0
2,11,0
3,11,0
4,11,0
5,11,0
6,11,0
7,11,0
8,11,0
9,11,0
10,11,0
11,11,0
