x-idx,y-idx,value
0,0,6616
1,0,8020
2,0,8347
3,0,8513
4,0,8342
5,0,8555
6,0,8582
7,0,8319
8,0,7733
9,0,7408
10,0,7277
11,0,6855
0,1,7114
1,1,8298
2,1,8692
3,1,8828
4,1,8871
5,1,8913
6,1,8248
7,1,8896
8,1,8158
9,1,7515
10,1,7276
11,1,6939
0,2,7133
1,2,8467
2,2,8869
3,2,9006
4,2,8931
5,2,8830
6,2,8858
7,2,8927
8,2,8232
9,2,7212
10,2,6735
11,2,6723
0,3,7212
1,3,8234
2,3,8659
3,3,8922
4,3,8367
5,3,8940
6,3,8738
7,3,8683
8,3,8323
9,3,8073
10,3,7505
11,3,7267
0,4,6820
1,4,8305
2,4,8742
3,4,8863
4,4,8754
5,4,8632
6,4,8538
7,4,8542
8,4,8294
9,4,8144
10,4,7954
11,4,8231
0,5,6708
1,5,8103
2,5,8497
3,5,8710
4,5,8776
5,5,8667
6,5,8738
7,5,7432
8,5,6894
9,5,6380
10,5,6064
11,5,7058
0,6,6571
1,6,8305
2,6,8687
3,6,8808
4,6,8729
5,6,8632
6,6,6866
7,6,5829
8,6,4666
9,6,3946
10,6,3459
11,6,3850
0,7,6782
1,7,8195
2,7,8585
3,7,8797
4,7,8539
5,7,8704
6,7,7119
7,7,5356
8,7,3750
9,7,2684
10,7,1964
11,7,1793
0,8,6947
1,8,8477
2,8,8782
3,8,8763
4,8,8284
5,8,8811
6,8,7025
7,8,5050
8,8,3366
9,8,2411
10,8,1590
11,8,1375
0,9,6810
1,9,8241
2,9,8505
3,9,8789
4,9,8582
5,9,8718
6,9,8555
7,9,6686
8,9,4812
9,9,3347
10,9,2656
11,9,2063
0,10,5971
1,10,7858
2,10,8221
3,10,8328
4,10,8296
5,10,8246
6,10,8270
7,10,6989
8,10,5641
9,10,4361
10,10,3615
11,10,3192
0,11,2931
1,11,6599
2,11,7262
3,11,7326
4,11,7255
5,11,7142
6,11,7191
7,11,7317
8,11,6946
9,11,5475
10,11,4823
11,11,4377
