x-idx,y-idx,value
0,0,6656
1,0,8027
2,0,8354
3,0,8509
4,0,8339
5,0,8549
6,0,8580
7,0,8528
8,0,7861
9,0,7478
10,0,7336
11,0,6948
0,1,7136
1,1,8303
2,1,8704
3,1,8830
4,1,8863
5,1,8912
6,1,8246
7,1,8899
8,1,8217
9,1,7561
10,1,7308
11,1,6998
0,2,7176
1,2,8468
2,2,8850
3,2,9018
4,2,8939
5,2,8832
6,2,8861
7,2,8923
8,2,8262
9,2,7254
10,2,6763
11,2,6798
0,3,7233
1,3,8238
2,3,8689
3,3,8915
4,3,8364
5,3,8926
6,3,8722
7,3,8682
8,3,8329
9,3,8072
10,3,7650
11,3,7504
0,4,6828
1,4,8316
2,4,8742
3,4,8841
4,4,8737
5,4,8640
6,4,8525
7,4,8529
8,4,8289
9,4,8142
10,4,7951
11,4,8239
0,5,6748
1,5,8099
2,5,8504
3,5,8707
4,5,8752
5,5,8670
6,5,8739
7,5,7843
8,5,6979
9,5,6351
10,5,5980
11,5,6877
0,6,6599
1,6,8304
2,6,8697
3,6,8774
4,6,8700
5,6,8631
6,6,7094
7,6,5902
8,6,4977
9,6,4103
10,6,3360
11,6,3746
0,7,6810
1,7,8199
2,7,8594
3,7,8791
4,7,8527
5,7,8649
6,7,7431
7,7,5803
8,7,4045
9,7,2592
10,7,1834
11,7,1600
0,8,6970
1,8,8470
2,8,8755
3,8,8765
4,8,8283
5,8,8788
6,8,7400
7,8,5492
8,8,3575
9,8,2276
10,8,1477
11,8,1251
0,9,6841
1,9,8248
2,9,8501
3,9,8760
4,9,8541
5,9,8645
6,9,8676
7,9,6987
8,9,5204
9,9,3513
10,9,2519
11,9,1880
0,10,6027
1,10,7873
2,10,8205
3,10,8291
4,10,8256
5,10,8230
6,10,8221
7,10,8372
8,10,6120
9,10,4643
10,10,3755
11,10,3351
0,11,2882
1,11,6577
2,11,7245
3,11,7295
4,11,7217
5,11,7115
6,11,7130
7,11,7267
8,11,7533
9,11,5827
10,11,5356
11,11,4934
